,region,land_use,total_suitability
107,Bay of Plenty,Sheep/beef,Not enough information to exclude
108,Bay of Plenty,Spinach,Not enough information to exclude
109,Bay of Plenty,Squash,Not enough information to exclude
110,Bay of Plenty,Sweetcorn,Not enough information to exclude
111,Bay of Plenty,Tomato,Not enough information to exclude
112,Bay of Plenty,Truffle (Placeholder),Not enough information to exclude
113,Bay of Plenty,Vining Pea,Suitable - WWO
114,Bay of Plenty,Wheat,Suitable - WWO
115,Canterbury,Apple,Suitable - already grown
116,Canterbury,Apricot,Suitable - already grown
117,Canterbury,Arable Crop,Not enough information to exclude
118,Canterbury,Avocado,Unsuitable
119,Canterbury,Barley,Not enough information to exclude
120,Canterbury,Barley (grain),Not enough information to exclude
121,Canterbury,Beetroot,Suitable - already grown
122,Canterbury,Blueberry,Suitable - already grown
123,Canterbury,Blueberry (HyperFarm),Not enough information to exclude
124,Canterbury,Broccoli,Not enough information to exclude
125,Canterbury,Cabbage,Not enough information to exclude
126,Canterbury,Carrot,Not enough information to exclude
127,Canterbury,Cauliflower,Not enough information to exclude
128,Canterbury,Cherry (CL),Suitable - already grown
129,Canterbury,Cherry (HyperFarm),Not enough information to exclude
130,Canterbury,Cherry (UFO),Suitable - already grown
131,Canterbury,Chestnut (Placeholder),Not enough information to exclude
132,Canterbury,Commercial Forest,Not enough information to exclude
133,Canterbury,Dairy,Not enough information to exclude
134,Canterbury,Dairy Goat,Not enough information to exclude
135,Canterbury,Field Pea,Suitable - already grown
136,Canterbury,Forage Oat,Not enough information to exclude
137,Canterbury,Grape,Suitable - already grown
138,Canterbury,Honey-Manuka (Placeholder),Not enough information to exclude
139,Canterbury,Hops,Suitable - already grown
140,Canterbury,Kale,Not enough information to exclude
141,Canterbury,Kiwifruit (Gold),Suitable - WWO
142,Canterbury,Kiwifruit (Green),Unsuitable
143,Canterbury,Kiwifruit (HyperFarm),Not enough information to exclude
144,Canterbury,Lemon (Meyer),Suitable - already grown
145,Canterbury,Lemon (Yen Ben),Suitable - already grown
146,Canterbury,Lettuce,Not enough information to exclude
147,Canterbury,Macadamia,Suitable - already grown
148,Canterbury,Maize,Unsuitable
149,Canterbury,Mandarin (Encore),Suitable - already grown
150,Canterbury,Mandarin (Satsuma),Suitable - already grown
151,Canterbury,Native Bush,Not enough information to exclude
152,Canterbury,Native regen (Placeholder),Not enough information to exclude
153,Canterbury,Nectarine,Suitable - already grown
154,Canterbury,Onion,Suitable - already grown
155,Canterbury,Orange (Navel),Suitable - already grown
156,Canterbury,Orange (Valencia),Suitable - already grown
157,Canterbury,Pea,Not enough information to exclude
158,Canterbury,Peach,Suitable - already grown
159,Canterbury,Potato (Fresh Potato),Suitable - already grown
160,Canterbury,Potato (Process Potato),Suitable - already grown
161,Canterbury,Potato (Seed Potato),Not enough information to exclude
162,Canterbury,Potato (Summer Potato),Not enough information to exclude
163,Canterbury,Ryegrass Seed,Not enough information to exclude
164,Canterbury,Sheep/beef,Not enough information to exclude
165,Canterbury,Spinach,Not enough information to exclude
166,Canterbury,Squash,Suitable - already grown
167,Canterbury,Sweetcorn,Not enough information to exclude
168,Canterbury,Tomato,Not enough information to exclude
169,Canterbury,Truffle (Placeholder),Not enough information to exclude
170,Canterbury,Vining Pea,Suitable - already grown
171,Canterbury,Wheat,Suitable - WWO
172,Gisborne,Apple,Suitable - already grown
173,Gisborne,Apricot,Suitable - already grown
174,Gisborne,Arable Crop,Not enough information to exclude
175,Gisborne,Avocado,Suitable - already grown
176,Gisborne,Barley,Not enough information to exclude
177,Gisborne,Barley (grain),Not enough information to exclude
178,Gisborne,Beetroot,Not enough information to exclude
179,Gisborne,Blueberry,Suitable - already grown
180,Gisborne,Blueberry (HyperFarm),Not enough information to exclude
181,Gisborne,Broccoli,Not enough information to exclude
182,Gisborne,Cabbage,Not enough information to exclude
183,Gisborne,Carrot,Not enough information to exclude
184,Gisborne,Cauliflower,Not enough information to exclude
185,Gisborne,Cherry (CL),Suitable - already grown
186,Gisborne,Cherry (HyperFarm),Not enough information to exclude
187,Gisborne,Cherry (UFO),Suitable - already grown
188,Gisborne,Chestnut (Placeholder),Not enough information to exclude
189,Gisborne,Commercial Forest,Not enough information to exclude
190,Gisborne,Dairy,Not enough information to exclude
191,Gisborne,Dairy Goat,Not enough information to exclude
192,Gisborne,Field Pea,Not enough information to exclude
193,Gisborne,Forage Oat,Not enough information to exclude
194,Gisborne,Grape,Suitable - already grown
195,Gisborne,Honey-Manuka (Placeholder),Not enough information to exclude
196,Gisborne,Hops,Suitable - already grown
197,Gisborne,Kale,Not enough information to exclude
198,Gisborne,Kiwifruit (Gold),Suitable - already grown
199,Gisborne,Kiwifruit (Green),Suitable - already grown
200,Gisborne,Kiwifruit (HyperFarm),Not enough information to exclude
201,Gisborne,Lemon (Meyer),Suitable - already grown
202,Gisborne,Lemon (Yen Ben),Suitable - already grown
203,Gisborne,Lettuce,Not enough information to exclude
204,Gisborne,Macadamia,Suitable - already grown
205,Gisborne,Maize,Suitable - WWO
206,Gisborne,Mandarin (Encore),Suitable - already grown
207,Gisborne,Mandarin (Satsuma),Suitable - already grown
208,Gisborne,Native Bush,Not enough information to exclude
209,Gisborne,Native regen (Placeholder),Not enough information to exclude
210,Gisborne,Nectarine,Suitable - already grown
211,Gisborne,Onion,Suitable - already grown
212,Gisborne,Orange (Navel),Suitable - already grown
213,Gisborne,Orange (Valencia),Suitable - already grown
214,Gisborne,Pea,Not enough information to exclude
215,Gisborne,Peach,Suitable - already grown
216,Gisborne,Potato (Fresh Potato),Unsuitable
217,Gisborne,Potato (Process Potato),Unsuitable
218,Gisborne,Potato (Seed Potato),Not enough information to exclude
219,Gisborne,Potato (Summer Potato),Not enough information to exclude
220,Gisborne,Ryegrass Seed,Not enough information to exclude
221,Gisborne,Sheep/beef,Not enough information to exclude
222,Gisborne,Spinach,Not enough information to exclude
223,Gisborne,Squash,Suitable - already grown
224,Gisborne,Sweetcorn,Not enough information to exclude
225,Gisborne,Tomato,Not enough information to exclude
226,Gisborne,Truffle (Placeholder),Not enough information to exclude
227,Gisborne,Vining Pea,Suitable - WWO
228,Gisborne,Wheat,Suitable - WWO
