,region,land_use,total_suitability
537,Otago,Honey-Manuka (Placeholder),Not enough information to exclude
538,Otago,Hops,Suitable - already grown
539,Otago,Kale,Not enough information to exclude
540,Otago,Kiwifruit (Gold),Suitable - already grown
541,Otago,Kiwifruit (Green),Suitable - already grown
542,Otago,Kiwifruit (HyperFarm),Not enough information to exclude
543,Otago,Lemon (Meyer),Not enough information to exclude
544,Otago,Lemon (Yen Ben),Not enough information to exclude
545,Otago,Lettuce,Not enough information to exclude
546,Otago,Macadamia,Suitable - already grown
547,Otago,Maize,Unsuitable
548,Otago,Mandarin (Encore),Not enough information to exclude
549,Otago,Mandarin (Satsuma),Not enough information to exclude
550,Otago,Native Bush,Not enough information to exclude
551,Otago,Native regen (Placeholder),Not enough information to exclude
552,Otago,Nectarine,Suitable - already grown
553,Otago,Onion,Suitable - already grown
554,Otago,Orange (Navel),Not enough information to exclude
555,Otago,Orange (Valencia),Not enough information to exclude
556,Otago,Pea,Not enough information to exclude
557,Otago,Peach,Suitable - already grown
558,Otago,Potato (Fresh Potato),Suitable - already grown
559,Otago,Potato (Process Potato),Suitable - already grown
560,Otago,Potato (Seed Potato),Not enough information to exclude
561,Otago,Potato (Summer Potato),Not enough information to exclude
562,Otago,Ryegrass Seed,Not enough information to exclude
563,Otago,Sheep/beef,Not enough information to exclude
564,Otago,Spinach,Not enough information to exclude
565,Otago,Squash,Not enough information to exclude
566,Otago,Sweetcorn,Not enough information to exclude
567,Otago,Tomato,Not enough information to exclude
568,Otago,Truffle (Placeholder),Not enough information to exclude
569,Otago,Vining Pea,Suitable - already grown
570,Otago,Wheat,Suitable - WWO
571,Southland,Apple,Not enough information to exclude
572,Southland,Apricot,Suitable - already grown
573,Southland,Arable Crop,Not enough information to exclude
574,Southland,Avocado,Unsuitable
575,Southland,Barley,Not enough information to exclude
576,Southland,Barley (grain),Not enough information to exclude
577,Southland,Beetroot,Not enough information to exclude
578,Southland,Blueberry,Suitable - already grown
579,Southland,Blueberry (HyperFarm),Not enough information to exclude
580,Southland,Broccoli,Not enough information to exclude
581,Southland,Cabbage,Not enough information to exclude
582,Southland,Carrot,Not enough information to exclude
583,Southland,Cauliflower,Not enough information to exclude
584,Southland,Cherry (CL),Suitable - already grown
585,Southland,Cherry (HyperFarm),Not enough information to exclude
586,Southland,Cherry (UFO),Suitable - already grown
587,Southland,Chestnut (Placeholder),Not enough information to exclude
588,Southland,Commercial Forest,Not enough information to exclude
589,Southland,Dairy,Not enough information to exclude
590,Southland,Dairy Goat,Not enough information to exclude
591,Southland,Field Pea,Not enough information to exclude
592,Southland,Forage Oat,Not enough information to exclude
593,Southland,Grape,Unsuitable
594,Southland,Honey-Manuka (Placeholder),Not enough information to exclude
595,Southland,Hops,Suitable - already grown
596,Southland,Kale,Not enough information to exclude
597,Southland,Kiwifruit (Gold),Suitable - WWO
598,Southland,Kiwifruit (Green),Unsuitable
599,Southland,Kiwifruit (HyperFarm),Not enough information to exclude
600,Southland,Lemon (Meyer),Suitable - already grown
601,Southland,Lemon (Yen Ben),Suitable - already grown
602,Southland,Lettuce,Not enough information to exclude
603,Southland,Macadamia,Suitable - already grown
604,Southland,Maize,Unsuitable
605,Southland,Mandarin (Encore),Suitable - already grown
606,Southland,Mandarin (Satsuma),Suitable - already grown
607,Southland,Native Bush,Not enough information to exclude
608,Southland,Native regen (Placeholder),Not enough information to exclude
609,Southland,Nectarine,Suitable - already grown
610,Southland,Onion,Suitable - WWO
611,Southland,Orange (Navel),Suitable - already grown
612,Southland,Orange (Valencia),Suitable - already grown
613,Southland,Pea,Not enough information to exclude
614,Southland,Peach,Suitable - already grown
615,Southland,Potato (Fresh Potato),Suitable - already grown
616,Southland,Potato (Process Potato),Suitable - already grown
617,Southland,Potato (Seed Potato),Not enough information to exclude
618,Southland,Potato (Summer Potato),Not enough information to exclude
619,Southland,Ryegrass Seed,Not enough information to exclude
620,Southland,Sheep/beef,Not enough information to exclude
621,Southland,Spinach,Not enough information to exclude
622,Southland,Squash,Not enough information to exclude
623,Southland,Sweetcorn,Not enough information to exclude
624,Southland,Tomato,Not enough information to exclude
625,Southland,Truffle (Placeholder),Not enough information to exclude
626,Southland,Vining Pea,Suitable - WWO
627,Southland,Wheat,Suitable - WWO
628,Taranaki,Apple,Suitable - already grown
629,Taranaki,Apricot,Suitable - already grown
630,Taranaki,Arable Crop,Not enough information to exclude
631,Taranaki,Avocado,Suitable - already grown
632,Taranaki,Barley,Not enough information to exclude
633,Taranaki,Barley (grain),Not enough information to exclude
634,Taranaki,Beetroot,Not enough information to exclude
635,Taranaki,Blueberry,Suitable - already grown
636,Taranaki,Blueberry (HyperFarm),Not enough information to exclude
637,Taranaki,Broccoli,Not enough information to exclude
638,Taranaki,Cabbage,Not enough information to exclude
639,Taranaki,Carrot,Not enough information to exclude
640,Taranaki,Cauliflower,Not enough information to exclude
641,Taranaki,Cherry (CL),Suitable - already grown
642,Taranaki,Cherry (HyperFarm),Not enough information to exclude
643,Taranaki,Cherry (UFO),Suitable - already grown
644,Taranaki,Chestnut (Placeholder),Not enough information to exclude
645,Taranaki,Commercial Forest,Not enough information to exclude
646,Taranaki,Dairy,Not enough information to exclude
647,Taranaki,Dairy Goat,Not enough information to exclude
648,Taranaki,Field Pea,Not enough information to exclude
649,Taranaki,Forage Oat,Not enough information to exclude
650,Taranaki,Grape,Suitable - WWO
651,Taranaki,Honey-Manuka (Placeholder),Not enough information to exclude
652,Taranaki,Hops,Suitable - already grown
653,Taranaki,Kale,Not enough information to exclude
654,Taranaki,Kiwifruit (Gold),Suitable - already grown
655,Taranaki,Kiwifruit (Green),Suitable - already grown
656,Taranaki,Kiwifruit (HyperFarm),Not enough information to exclude
657,Taranaki,Lemon (Meyer),Suitable - already grown
658,Taranaki,Lemon (Yen Ben),Suitable - already grown
659,Taranaki,Lettuce,Not enough information to exclude
660,Taranaki,Macadamia,Suitable - already grown
661,Taranaki,Maize,Suitable - WWO
662,Taranaki,Mandarin (Encore),Suitable - already grown
663,Taranaki,Mandarin (Satsuma),Suitable - already grown
664,Taranaki,Native Bush,Not enough information to exclude
665,Taranaki,Native regen (Placeholder),Not enough information to exclude
666,Taranaki,Nectarine,Suitable - already grown
667,Taranaki,Onion,Suitable - WWO
668,Taranaki,Orange (Navel),Suitable - already grown
669,Taranaki,Orange (Valencia),Suitable - already grown
670,Taranaki,Pea,Not enough information to exclude
671,Taranaki,Peach,Suitable - already grown
672,Taranaki,Potato (Fresh Potato),Suitable - already grown
673,Taranaki,Potato (Process Potato),Suitable - already grown
674,Taranaki,Potato (Seed Potato),Not enough information to exclude
675,Taranaki,Potato (Summer Potato),Not enough information to exclude
676,Taranaki,Ryegrass Seed,Not enough information to exclude
677,Taranaki,Sheep/beef,Not enough information to exclude
678,Taranaki,Spinach,Not enough information to exclude
679,Taranaki,Squash,Not enough information to exclude
680,Taranaki,Sweetcorn,Not enough information to exclude
681,Taranaki,Tomato,Not enough information to exclude
682,Taranaki,Truffle (Placeholder),Not enough information to exclude
683,Taranaki,Vining Pea,Suitable - WWO
684,Taranaki,Wheat,Suitable - WWO
685,Tasman,Apple,Not enough information to exclude
686,Tasman,Apricot,Not enough information to exclude
687,Tasman,Arable Crop,Not enough information to exclude
688,Tasman,Avocado,Unsuitable
689,Tasman,Barley,Not enough information to exclude
690,Tasman,Barley (grain),Not enough information to exclude
691,Tasman,Beetroot,Not enough information to exclude
692,Tasman,Blueberry,Suitable - WWO
693,Tasman,Blueberry (HyperFarm),Not enough information to exclude
694,Tasman,Broccoli,Not enough information to exclude
695,Tasman,Cabbage,Not enough information to exclude
696,Tasman,Carrot,Not enough information to exclude
697,Tasman,Cauliflower,Not enough information to exclude
698,Tasman,Cherry (CL),Suitable - WWO
699,Tasman,Cherry (HyperFarm),Not enough information to exclude
700,Tasman,Cherry (UFO),Suitable - WWO
701,Tasman,Chestnut (Placeholder),Not enough information to exclude
702,Tasman,Commercial Forest,Not enough information to exclude
703,Tasman,Dairy,Not enough information to exclude
704,Tasman,Dairy Goat,Not enough information to exclude
705,Tasman,Field Pea,Not enough information to exclude
706,Tasman,Forage Oat,Not enough information to exclude
707,Tasman,Grape,Suitable - WWO
708,Tasman,Honey-Manuka (Placeholder),Not enough information to exclude
709,Tasman,Hops,Suitable - already grown
710,Tasman,Kale,Not enough information to exclude
711,Tasman,Kiwifruit (Gold),Suitable - WWO
712,Tasman,Kiwifruit (Green),Unsuitable
713,Tasman,Kiwifruit (HyperFarm),Not enough information to exclude
714,Tasman,Lemon (Meyer),Not enough information to exclude
715,Tasman,Lemon (Yen Ben),Not enough information to exclude
716,Tasman,Lettuce,Not enough information to exclude
717,Tasman,Macadamia,Not enough information to exclude
718,Tasman,Maize,Suitable - WWO
719,Tasman,Mandarin (Encore),Not enough information to exclude
720,Tasman,Mandarin (Satsuma),Not enough information to exclude
721,Tasman,Native Bush,Not enough information to exclude
722,Tasman,Native regen (Placeholder),Not enough information to exclude
723,Tasman,Nectarine,Not enough information to exclude
724,Tasman,Onion,Unsuitable
725,Tasman,Orange (Navel),Not enough information to exclude
726,Tasman,Orange (Valencia),Not enough information to exclude
727,Tasman,Pea,Not enough information to exclude
728,Tasman,Peach,Not enough information to exclude
729,Tasman,Potato (Fresh Potato),Suitable - WWO
730,Tasman,Potato (Process Potato),Suitable - WWO
731,Tasman,Potato (Seed Potato),Not enough information to exclude
732,Tasman,Potato (Summer Potato),Not enough information to exclude
733,Tasman,Ryegrass Seed,Not enough information to exclude
734,Tasman,Sheep/beef,Not enough information to exclude
735,Tasman,Spinach,Not enough information to exclude
736,Tasman,Squash,Not enough information to exclude
737,Tasman,Sweetcorn,Not enough information to exclude
738,Tasman,Tomato,Not enough information to exclude
739,Tasman,Truffle (Placeholder),Not enough information to exclude
740,Tasman,Vining Pea,Suitable - WWO
741,Tasman,Wheat,Suitable - WWO
742,Waikato,Apple,Suitable - already grown
743,Waikato,Apricot,Suitable - already grown
744,Waikato,Arable Crop,Not enough information to exclude
745,Waikato,Avocado,Suitable - already grown
746,Waikato,Barley,Not enough information to exclude
747,Waikato,Barley (grain),Not enough information to exclude
748,Waikato,Beetroot,Not enough information to exclude
749,Waikato,Blueberry,Suitable - already grown
750,Waikato,Blueberry (HyperFarm),Not enough information to exclude
751,Waikato,Broccoli,Not enough information to exclude
752,Waikato,Cabbage,Not enough information to exclude
753,Waikato,Carrot,Not enough information to exclude
754,Waikato,Cauliflower,Not enough information to exclude
755,Waikato,Cherry (CL),Suitable - already grown
756,Waikato,Cherry (HyperFarm),Not enough information to exclude
757,Waikato,Cherry (UFO),Suitable - already grown
758,Waikato,Chestnut (Placeholder),Not enough information to exclude
759,Waikato,Commercial Forest,Not enough information to exclude
760,Waikato,Dairy,Not enough information to exclude
761,Waikato,Dairy Goat,Not enough information to exclude
762,Waikato,Field Pea,Not enough information to exclude
763,Waikato,Forage Oat,Not enough information to exclude
764,Waikato,Grape,Suitable - WWO
765,Waikato,Honey-Manuka (Placeholder),Not enough information to exclude
766,Waikato,Hops,Suitable - already grown
767,Waikato,Kale,Not enough information to exclude
768,Waikato,Kiwifruit (Gold),Suitable - already grown
769,Waikato,Kiwifruit (Green),Suitable - already grown
770,Waikato,Kiwifruit (HyperFarm),Not enough information to exclude
771,Waikato,Lemon (Meyer),Suitable - already grown
772,Waikato,Lemon (Yen Ben),Suitable - already grown
773,Waikato,Lettuce,Not enough information to exclude
774,Waikato,Macadamia,Suitable - already grown
775,Waikato,Maize,Suitable - WWO
776,Waikato,Mandarin (Encore),Suitable - already grown
777,Waikato,Mandarin (Satsuma),Suitable - already grown
778,Waikato,Native Bush,Not enough information to exclude
779,Waikato,Native regen (Placeholder),Not enough information to exclude
780,Waikato,Nectarine,Suitable - already grown
781,Waikato,Onion,Suitable - already grown
782,Waikato,Orange (Navel),Suitable - already grown
783,Waikato,Orange (Valencia),Suitable - already grown
784,Waikato,Pea,Not enough information to exclude
785,Waikato,Peach,Suitable - already grown
786,Waikato,Potato (Fresh Potato),Suitable - already grown
787,Waikato,Potato (Process Potato),Suitable - already grown
788,Waikato,Potato (Seed Potato),Not enough information to exclude
789,Waikato,Potato (Summer Potato),Not enough information to exclude
790,Waikato,Ryegrass Seed,Not enough information to exclude
791,Waikato,Sheep/beef,Not enough information to exclude
792,Waikato,Spinach,Not enough information to exclude
793,Waikato,Squash,Suitable - already grown
794,Waikato,Sweetcorn,Not enough information to exclude
795,Waikato,Tomato,Not enough information to exclude
796,Waikato,Truffle (Placeholder),Not enough information to exclude
797,Waikato,Vining Pea,Suitable - WWO
798,Waikato,Wheat,Suitable - WWO
799,Wellington,Apple,Suitable - already grown
800,Wellington,Apricot,Suitable - already grown
801,Wellington,Arable Crop,Not enough information to exclude
802,Wellington,Avocado,Suitable - already grown
803,Wellington,Barley,Not enough information to exclude
804,Wellington,Barley (grain),Not enough information to exclude
805,Wellington,Beetroot,Not enough information to exclude
806,Wellington,Blueberry,Suitable - already grown
807,Wellington,Blueberry (HyperFarm),Not enough information to exclude
808,Wellington,Broccoli,Not enough information to exclude
809,Wellington,Cabbage,Not enough information to exclude
810,Wellington,Carrot,Not enough information to exclude
811,Wellington,Cauliflower,Not enough information to exclude
812,Wellington,Cherry (CL),Suitable - already grown
813,Wellington,Cherry (HyperFarm),Not enough information to exclude
814,Wellington,Cherry (UFO),Suitable - already grown
815,Wellington,Chestnut (Placeholder),Not enough information to exclude
816,Wellington,Commercial Forest,Not enough information to exclude
817,Wellington,Dairy,Not enough information to exclude
818,Wellington,Dairy Goat,Not enough information to exclude
819,Wellington,Field Pea,Not enough information to exclude
820,Wellington,Forage Oat,Not enough information to exclude
821,Wellington,Grape,Suitable - already grown
822,Wellington,Honey-Manuka (Placeholder),Not enough information to exclude
823,Wellington,Hops,Suitable - already grown
824,Wellington,Kale,Not enough information to exclude
825,Wellington,Kiwifruit (Gold),Suitable - already grown
826,Wellington,Kiwifruit (Green),Suitable - already grown
827,Wellington,Kiwifruit (HyperFarm),Not enough information to exclude
828,Wellington,Lemon (Meyer),Suitable - already grown
829,Wellington,Lemon (Yen Ben),Suitable - already grown
830,Wellington,Lettuce,Not enough information to exclude
831,Wellington,Macadamia,Suitable - already grown
832,Wellington,Maize,Suitable - WWO
833,Wellington,Mandarin (Encore),Suitable - already grown
834,Wellington,Mandarin (Satsuma),Suitable - already grown
835,Wellington,Native Bush,Not enough information to exclude
836,Wellington,Native regen (Placeholder),Not enough information to exclude
837,Wellington,Nectarine,Suitable - already grown
838,Wellington,Onion,Suitable - already grown
839,Wellington,Orange (Navel),Suitable - already grown
840,Wellington,Orange (Valencia),Suitable - already grown
841,Wellington,Pea,Not enough information to exclude
842,Wellington,Peach,Suitable - already grown
843,Wellington,Potato (Fresh Potato),Suitable - already grown
844,Wellington,Potato (Process Potato),Suitable - already grown
845,Wellington,Potato (Seed Potato),Not enough information to exclude
846,Wellington,Potato (Summer Potato),Not enough information to exclude
847,Wellington,Ryegrass Seed,Not enough information to exclude
848,Wellington,Sheep/beef,Not enough information to exclude
849,Wellington,Spinach,Not enough information to exclude
850,Wellington,Squash,Suitable - already grown
851,Wellington,Sweetcorn,Not enough information to exclude
852,Wellington,Tomato,Not enough information to exclude
853,Wellington,Truffle (Placeholder),Not enough information to exclude
854,Wellington,Vining Pea,Suitable - WWO
855,Wellington,Wheat,Suitable - WWO
856,West Coast,Apple,Not enough information to exclude
857,West Coast,Apricot,Suitable - already grown
858,West Coast,Arable Crop,Not enough information to exclude
859,West Coast,Avocado,Unsuitable
860,West Coast,Barley,Not enough information to exclude
861,West Coast,Barley (grain),Not enough information to exclude
862,West Coast,Beetroot,Not enough information to exclude
863,West Coast,Blueberry,Suitable - already grown
864,West Coast,Blueberry (HyperFarm),Not enough information to exclude
865,West Coast,Broccoli,Not enough information to exclude
866,West Coast,Cabbage,Not enough information to exclude
867,West Coast,Carrot,Not enough information to exclude
868,West Coast,Cauliflower,Not enough information to exclude
869,West Coast,Cherry (CL),Suitable - already grown
870,West Coast,Cherry (HyperFarm),Not enough information to exclude
871,West Coast,Cherry (UFO),Suitable - already grown
872,West Coast,Chestnut (Placeholder),Not enough information to exclude
873,West Coast,Commercial Forest,Not enough information to exclude
874,West Coast,Dairy,Not enough information to exclude
875,West Coast,Dairy Goat,Not enough information to exclude
876,West Coast,Field Pea,Not enough information to exclude
877,West Coast,Forage Oat,Not enough information to exclude
878,West Coast,Grape,Unsuitable
879,West Coast,Honey-Manuka (Placeholder),Not enough information to exclude
880,West Coast,Hops,Not enough information to exclude
881,West Coast,Kale,Not enough information to exclude
882,West Coast,Kiwifruit (Gold),Suitable - WWO
883,West Coast,Kiwifruit (Green),Unsuitable
884,West Coast,Kiwifruit (HyperFarm),Not enough information to exclude
885,West Coast,Lemon (Meyer),Not enough information to exclude
886,West Coast,Lemon (Yen Ben),Not enough information to exclude
887,West Coast,Lettuce,Not enough information to exclude
888,West Coast,Macadamia,Suitable - already grown
889,West Coast,Maize,Unsuitable
890,West Coast,Mandarin (Encore),Not enough information to exclude
891,West Coast,Mandarin (Satsuma),Not enough information to exclude
892,West Coast,Native Bush,Not enough information to exclude
893,West Coast,Native regen (Placeholder),Not enough information to exclude
894,West Coast,Nectarine,Suitable - already grown
895,West Coast,Onion,Unsuitable
896,West Coast,Orange (Navel),Not enough information to exclude
897,West Coast,Orange (Valencia),Not enough information to exclude
898,West Coast,Pea,Not enough information to exclude
899,West Coast,Peach,Suitable - already grown
900,West Coast,Potato (Fresh Potato),Unsuitable
901,West Coast,Potato (Process Potato),Unsuitable
902,West Coast,Potato (Seed Potato),Not enough information to exclude
903,West Coast,Potato (Summer Potato),Not enough information to exclude
904,West Coast,Ryegrass Seed,Not enough information to exclude
905,West Coast,Sheep/beef,Not enough information to exclude
906,West Coast,Spinach,Not enough information to exclude
907,West Coast,Squash,Not enough information to exclude
908,West Coast,Sweetcorn,Not enough information to exclude
909,West Coast,Tomato,Not enough information to exclude
910,West Coast,Truffle (Placeholder),Not enough information to exclude
911,West Coast,Vining Pea,Unsuitable
912,West Coast,Wheat,Suitable - WWO
