combination_id,score_to_min,land_use_1,land_use_2,land_use_3,land_use_4
00001,0.39269192672604836,Sheep/beef,Dairy,Commercial Forest,Native Bush
00002,0.25441663962724514,Sheep/beef,Dairy,Commercial Forest,Hops
00003,0.13358698736599872,Sheep/beef,Dairy,Commercial Forest,Macadamia
00004,0.25407027258756504,Sheep/beef,Dairy,Commercial Forest,Peach
00005,0.25407027258756504,Sheep/beef,Dairy,Commercial Forest,Nectarine
00006,0.253717208051063,Sheep/beef,Dairy,Commercial Forest,Apricot
00007,0.10324784169593729,Sheep/beef,Dairy,Commercial Forest,Orange (Navel)
00008,0.26963786769958187,Sheep/beef,Dairy,Commercial Forest,Orange (Valencia)
00009,0.2332119491316073,Sheep/beef,Dairy,Commercial Forest,Mandarin (Encore)
00010,0.21801399951039732,Sheep/beef,Dairy,Commercial Forest,Mandarin (Satsuma)
00011,0.1197727161980795,Sheep/beef,Dairy,Commercial Forest,Lemon (Meyer)
00012,0.10957064941071172,Sheep/beef,Dairy,Commercial Forest,Grape
00013,0.25589093687448483,Sheep/beef,Dairy,Commercial Forest,Apple
00014,0.13203019528914844,Sheep/beef,Dairy,Commercial Forest,Avocado
00015,0.2572507592121451,Sheep/beef,Dairy,Commercial Forest,Lemon (Yen Ben)
00016,0.38339815609758343,Sheep/beef,Dairy,Commercial Forest,Blueberry
00017,0.4741731104082958,Sheep/beef,Dairy,Commercial Forest,Cherry (UFO)
00018,0.5018332649216759,Sheep/beef,Dairy,Commercial Forest,Cherry (CL)
00019,0.22940931897538075,Sheep/beef,Dairy,Commercial Forest,Kiwifruit (Gold)
00020,0.19251155629305192,Sheep/beef,Dairy,Commercial Forest,Kiwifruit (Green)
00021,0.2845475914198631,Sheep/beef,Dairy,Commercial Forest,Onion
00022,0.35963030680945157,Sheep/beef,Dairy,Commercial Forest,Squash
00023,0.35781441070222003,Sheep/beef,Dairy,Commercial Forest,Wheat
00024,0.30127179012050814,Sheep/beef,Dairy,Commercial Forest,Vining Pea
00025,0.18577556113221572,Sheep/beef,Dairy,Commercial Forest,Field Pea
00026,0.3771489639175386,Sheep/beef,Dairy,Commercial Forest,Maize
00027,0.13146423345728853,Sheep/beef,Dairy,Commercial Forest,Ryegrass Seed
00028,0.3369556051454863,Sheep/beef,Dairy,Commercial Forest,Kale
00029,0.3226101280830202,Sheep/beef,Dairy,Commercial Forest,Barley
00030,0.19031957436669392,Sheep/beef,Dairy,Commercial Forest,South Island arable rotation
00031,0.27308795991374446,Sheep/beef,Dairy,Commercial Forest,Broad acre vegetable rotation
00032,0.38923420653229557,Sheep/beef,Dairy,Native Bush,Hops
00033,0.37881016002967194,Sheep/beef,Dairy,Native Bush,Macadamia
00034,0.5371063185053377,Sheep/beef,Dairy,Native Bush,Peach
00035,0.5371063185053377,Sheep/beef,Dairy,Native Bush,Nectarine
00036,0.5757665731685336,Sheep/beef,Dairy,Native Bush,Apricot
00037,0.3897750041154469,Sheep/beef,Dairy,Native Bush,Orange (Navel)
00038,0.6090034273596183,Sheep/beef,Dairy,Native Bush,Orange (Valencia)
00039,0.5635838012710246,Sheep/beef,Dairy,Native Bush,Mandarin (Encore)
00040,0.306711424137122,Sheep/beef,Dairy,Native Bush,Mandarin (Satsuma)
00041,0.4192907747742789,Sheep/beef,Dairy,Native Bush,Lemon (Meyer)
00042,0.3279818737996908,Sheep/beef,Dairy,Native Bush,Grape
00043,0.3674460132937586,Sheep/beef,Dairy,Native Bush,Apple
00044,0.41523271829121766,Sheep/beef,Dairy,Native Bush,Avocado
00045,0.3676921443805111,Sheep/beef,Dairy,Native Bush,Lemon (Yen Ben)
00046,0.682858682723517,Sheep/beef,Dairy,Native Bush,Blueberry
00047,0.8129125717630682,Sheep/beef,Dairy,Native Bush,Cherry (UFO)
00048,0.8406268383300997,Sheep/beef,Dairy,Native Bush,Cherry (CL)
00049,0.3802370873769736,Sheep/beef,Dairy,Native Bush,Kiwifruit (Gold)
00050,0.3888397429958997,Sheep/beef,Dairy,Native Bush,Kiwifruit (Green)
00051,0.36648518979803374,Sheep/beef,Dairy,Native Bush,Onion
00052,0.7194483559538805,Sheep/beef,Dairy,Native Bush,Squash
00053,0.3207228622786811,Sheep/beef,Dairy,Native Bush,Wheat
00054,0.3696963953675031,Sheep/beef,Dairy,Native Bush,Vining Pea
00055,0.34269839372683697,Sheep/beef,Dairy,Native Bush,Field Pea
00056,0.41204498442415965,Sheep/beef,Dairy,Native Bush,Maize
00057,0.36202821858346734,Sheep/beef,Dairy,Native Bush,Ryegrass Seed
00058,0.3867777983436733,Sheep/beef,Dairy,Native Bush,Kale
00059,0.42130353456689956,Sheep/beef,Dairy,Native Bush,Barley
00060,0.4808861183574045,Sheep/beef,Dairy,Native Bush,South Island arable rotation
00061,0.6001137745512931,Sheep/beef,Dairy,Native Bush,Broad acre vegetable rotation
00062,0.11133476595188267,Sheep/beef,Dairy,Hops,Macadamia
00063,0.225162404166189,Sheep/beef,Dairy,Hops,Peach
00064,0.225162404166189,Sheep/beef,Dairy,Hops,Nectarine
00065,0.22755264357326027,Sheep/beef,Dairy,Hops,Apricot
00066,0.17839283969411313,Sheep/beef,Dairy,Hops,Orange (Navel)
00067,0.26693431840683857,Sheep/beef,Dairy,Hops,Orange (Valencia)
00068,0.22493816803930666,Sheep/beef,Dairy,Hops,Mandarin (Encore)
00069,0.1166508364365266,Sheep/beef,Dairy,Hops,Mandarin (Satsuma)
00070,0.21225577199923917,Sheep/beef,Dairy,Hops,Lemon (Meyer)
00071,0.12549793147886668,Sheep/beef,Dairy,Hops,Grape
00072,0.1522374339926476,Sheep/beef,Dairy,Hops,Apple
00073,0.0988720386911393,Sheep/beef,Dairy,Hops,Avocado
00074,0.1537141618283221,Sheep/beef,Dairy,Hops,Lemon (Yen Ben)
00075,0.36444107160960737,Sheep/beef,Dairy,Hops,Blueberry
00076,0.48925576161535067,Sheep/beef,Dairy,Hops,Cherry (UFO)
00077,0.517957396000696,Sheep/beef,Dairy,Hops,Cherry (CL)
00078,0.15048754879267373,Sheep/beef,Dairy,Hops,Kiwifruit (Gold)
00079,0.12310161261991663,Sheep/beef,Dairy,Hops,Kiwifruit (Green)
00080,0.26473427905767805,Sheep/beef,Dairy,Hops,Onion
00081,0.3681696526507008,Sheep/beef,Dairy,Hops,Squash
00082,0.286641159029167,Sheep/beef,Dairy,Hops,Wheat
00083,0.3228694103877651,Sheep/beef,Dairy,Hops,Vining Pea
00084,0.2481013860206096,Sheep/beef,Dairy,Hops,Field Pea
00085,0.3196950325456246,Sheep/beef,Dairy,Hops,Maize
00086,0.19213329403424917,Sheep/beef,Dairy,Hops,Ryegrass Seed
00087,0.31175282616576183,Sheep/beef,Dairy,Hops,Kale
00088,0.31511651993883083,Sheep/beef,Dairy,Hops,Barley
00089,0.2036141022344799,Sheep/beef,Dairy,Hops,South Island arable rotation
00090,0.29432764034865944,Sheep/beef,Dairy,Hops,Broad acre vegetable rotation
00091,0.18702701557084536,Sheep/beef,Dairy,Macadamia,Peach
00092,0.18702701557084536,Sheep/beef,Dairy,Macadamia,Nectarine
00093,0.23037961060451753,Sheep/beef,Dairy,Macadamia,Apricot
00094,0.24400160386226105,Sheep/beef,Dairy,Macadamia,Orange (Navel)
00095,0.2820206606733966,Sheep/beef,Dairy,Macadamia,Orange (Valencia)
00096,0.23847852766455108,Sheep/beef,Dairy,Macadamia,Mandarin (Encore)
00097,0.10866241644045203,Sheep/beef,Dairy,Macadamia,Mandarin (Satsuma)
00098,0.264181258186991,Sheep/beef,Dairy,Macadamia,Lemon (Meyer)
00099,0.20444879535423235,Sheep/beef,Dairy,Macadamia,Grape
00100,0.036288137337527476,Sheep/beef,Dairy,Macadamia,Apple
00101,0.12331674808341583,Sheep/beef,Dairy,Macadamia,Avocado
00102,0.03787086848970515,Sheep/beef,Dairy,Macadamia,Lemon (Yen Ben)
00103,0.32576721489038407,Sheep/beef,Dairy,Macadamia,Blueberry
00104,0.4917992034026942,Sheep/beef,Dairy,Macadamia,Cherry (UFO)
00105,0.5207284797710775,Sheep/beef,Dairy,Macadamia,Cherry (CL)
00106,0.06753624496450895,Sheep/beef,Dairy,Macadamia,Kiwifruit (Gold)
00107,0.07496764725397193,Sheep/beef,Dairy,Macadamia,Kiwifruit (Green)
00108,0.3003723522401419,Sheep/beef,Dairy,Macadamia,Onion
00109,0.3851522923738349,Sheep/beef,Dairy,Macadamia,Squash
00110,0.21080819102701892,Sheep/beef,Dairy,Macadamia,Wheat
00111,0.3859485907017115,Sheep/beef,Dairy,Macadamia,Vining Pea
00112,0.3259992634981972,Sheep/beef,Dairy,Macadamia,Field Pea
00113,0.23789654032273735,Sheep/beef,Dairy,Macadamia,Maize
00114,0.25703372273742636,Sheep/beef,Dairy,Macadamia,Ryegrass Seed
00115,0.2703401887111592,Sheep/beef,Dairy,Macadamia,Kale
00116,0.2866030238869131,Sheep/beef,Dairy,Macadamia,Barley
00117,0.22251469584246517,Sheep/beef,Dairy,Macadamia,South Island arable rotation
00118,0.3209494189146925,Sheep/beef,Dairy,Macadamia,Broad acre vegetable rotation
00119,0.35566555857674215,Sheep/beef,Dairy,Peach,Nectarine
00120,0.3789782411618566,Sheep/beef,Dairy,Peach,Apricot
00121,0.22985764176751966,Sheep/beef,Dairy,Peach,Orange (Navel)
00122,0.4018398669801335,Sheep/beef,Dairy,Peach,Orange (Valencia)
00123,0.35747473486518494,Sheep/beef,Dairy,Peach,Mandarin (Encore)
00124,0.11141172296456922,Sheep/beef,Dairy,Peach,Mandarin (Satsuma)
00125,0.26356389898029065,Sheep/beef,Dairy,Peach,Lemon (Meyer)
00126,0.1643238083901358,Sheep/beef,Dairy,Peach,Grape
00127,0.18998701062098486,Sheep/beef,Dairy,Peach,Apple
00128,0.21836878255968256,Sheep/beef,Dairy,Peach,Avocado
00129,0.19046844567189608,Sheep/beef,Dairy,Peach,Lemon (Yen Ben)
00130,0.5061381786420708,Sheep/beef,Dairy,Peach,Blueberry
00131,0.6210401871128463,Sheep/beef,Dairy,Peach,Cherry (UFO)
00132,0.6494375361843083,Sheep/beef,Dairy,Peach,Cherry (CL)
00133,0.19973523545964342,Sheep/beef,Dairy,Peach,Kiwifruit (Gold)
00134,0.1986987921465817,Sheep/beef,Dairy,Peach,Kiwifruit (Green)
00135,0.271272965074644,Sheep/beef,Dairy,Peach,Onion
00136,0.5212692525955226,Sheep/beef,Dairy,Peach,Squash
00137,0.22293513435789677,Sheep/beef,Dairy,Peach,Wheat
00138,0.3123329445428388,Sheep/beef,Dairy,Peach,Vining Pea
00139,0.23363494946504287,Sheep/beef,Dairy,Peach,Field Pea
00140,0.2949015441240758,Sheep/beef,Dairy,Peach,Maize
00141,0.20402301940923936,Sheep/beef,Dairy,Peach,Ryegrass Seed
00142,0.2733353317879891,Sheep/beef,Dairy,Peach,Kale
00143,0.2958408727166589,Sheep/beef,Dairy,Peach,Barley
00144,0.3006240555212638,Sheep/beef,Dairy,Peach,South Island arable rotation
00145,0.40510947542174874,Sheep/beef,Dairy,Peach,Broad acre vegetable rotation
00146,0.3789782411618566,Sheep/beef,Dairy,Nectarine,Apricot
00147,0.22985764176751966,Sheep/beef,Dairy,Nectarine,Orange (Navel)
00148,0.4018398669801335,Sheep/beef,Dairy,Nectarine,Orange (Valencia)
00149,0.35747473486518494,Sheep/beef,Dairy,Nectarine,Mandarin (Encore)
00150,0.11141172296456922,Sheep/beef,Dairy,Nectarine,Mandarin (Satsuma)
00151,0.26356389898029065,Sheep/beef,Dairy,Nectarine,Lemon (Meyer)
00152,0.1643238083901358,Sheep/beef,Dairy,Nectarine,Grape
00153,0.18998701062098486,Sheep/beef,Dairy,Nectarine,Apple
00154,0.21836878255968256,Sheep/beef,Dairy,Nectarine,Avocado
00155,0.19046844567189608,Sheep/beef,Dairy,Nectarine,Lemon (Yen Ben)
00156,0.5061381786420708,Sheep/beef,Dairy,Nectarine,Blueberry
00157,0.6210401871128463,Sheep/beef,Dairy,Nectarine,Cherry (UFO)
00158,0.6494375361843083,Sheep/beef,Dairy,Nectarine,Cherry (CL)
00159,0.19973523545964342,Sheep/beef,Dairy,Nectarine,Kiwifruit (Gold)
00160,0.1986987921465817,Sheep/beef,Dairy,Nectarine,Kiwifruit (Green)
00161,0.271272965074644,Sheep/beef,Dairy,Nectarine,Onion
00162,0.5212692525955226,Sheep/beef,Dairy,Nectarine,Squash
00163,0.22293513435789677,Sheep/beef,Dairy,Nectarine,Wheat
00164,0.3123329445428388,Sheep/beef,Dairy,Nectarine,Vining Pea
00165,0.23363494946504287,Sheep/beef,Dairy,Nectarine,Field Pea
00166,0.2949015441240758,Sheep/beef,Dairy,Nectarine,Maize
00167,0.20402301940923936,Sheep/beef,Dairy,Nectarine,Ryegrass Seed
00168,0.2733353317879891,Sheep/beef,Dairy,Nectarine,Kale
00169,0.2958408727166589,Sheep/beef,Dairy,Nectarine,Barley
00170,0.3006240555212638,Sheep/beef,Dairy,Nectarine,South Island arable rotation
00171,0.40510947542174874,Sheep/beef,Dairy,Nectarine,Broad acre vegetable rotation
00172,0.27811918284814324,Sheep/beef,Dairy,Apricot,Orange (Navel)
00173,0.45423874537920345,Sheep/beef,Dairy,Apricot,Orange (Valencia)
00174,0.40872834661170027,Sheep/beef,Dairy,Apricot,Mandarin (Encore)
00175,0.17545018311314098,Sheep/beef,Dairy,Apricot,Mandarin (Satsuma)
00176,0.3071722535919685,Sheep/beef,Dairy,Apricot,Lemon (Meyer)
00177,0.21765663437502636,Sheep/beef,Dairy,Apricot,Grape
00178,0.21266130808145725,Sheep/beef,Dairy,Apricot,Apple
00179,0.2639403048413226,Sheep/beef,Dairy,Apricot,Avocado
00180,0.2130832556824519,Sheep/beef,Dairy,Apricot,Lemon (Yen Ben)
00181,0.5241931164081638,Sheep/beef,Dairy,Apricot,Blueberry
00182,0.6703675370713467,Sheep/beef,Dairy,Apricot,Cherry (UFO)
00183,0.6988661398473777,Sheep/beef,Dairy,Apricot,Cherry (CL)
00184,0.21862826673442065,Sheep/beef,Dairy,Apricot,Kiwifruit (Gold)
00185,0.22951006177619385,Sheep/beef,Dairy,Apricot,Kiwifruit (Green)
00186,0.29564891453613135,Sheep/beef,Dairy,Apricot,Onion
00187,0.5791679677724674,Sheep/beef,Dairy,Apricot,Squash
00188,0.1882842764501792,Sheep/beef,Dairy,Apricot,Wheat
00189,0.3412435047339377,Sheep/beef,Dairy,Apricot,Vining Pea
00190,0.2710690761414892,Sheep/beef,Dairy,Apricot,Field Pea
00191,0.2706078992788769,Sheep/beef,Dairy,Apricot,Maize
00192,0.24535445162624497,Sheep/beef,Dairy,Apricot,Ryegrass Seed
00193,0.25769070410906786,Sheep/beef,Dairy,Apricot,Kale
00194,0.2905092022638083,Sheep/beef,Dairy,Apricot,Barley
00195,0.3390329896384267,Sheep/beef,Dairy,Apricot,South Island arable rotation
00196,0.4542613922628303,Sheep/beef,Dairy,Apricot,Broad acre vegetable rotation
00197,0.3329509964599078,Sheep/beef,Dairy,Orange (Navel),Orange (Valencia)
00198,0.29782666874748026,Sheep/beef,Dairy,Orange (Navel),Mandarin (Encore)
00199,0.2128309111530602,Sheep/beef,Dairy,Orange (Navel),Mandarin (Satsuma)
00200,0.3760526633418991,Sheep/beef,Dairy,Orange (Navel),Lemon (Meyer)
00201,0.3204385455763276,Sheep/beef,Dairy,Orange (Navel),Grape
00202,0.1268218110242246,Sheep/beef,Dairy,Orange (Navel),Apple
00203,0.23005728932472463,Sheep/beef,Dairy,Orange (Navel),Avocado
00204,0.12640149862374025,Sheep/beef,Dairy,Orange (Navel),Lemon (Yen Ben)
00205,0.3316529716088941,Sheep/beef,Dairy,Orange (Navel),Blueberry
00206,0.5284144130796607,Sheep/beef,Dairy,Orange (Navel),Cherry (UFO)
00207,0.5559041117839421,Sheep/beef,Dairy,Orange (Navel),Cherry (CL)
00208,0.15449309601592778,Sheep/beef,Dairy,Orange (Navel),Kiwifruit (Gold)
00209,0.17797849393672519,Sheep/beef,Dairy,Orange (Navel),Kiwifruit (Green)
00210,0.3892986940672538,Sheep/beef,Dairy,Orange (Navel),Onion
00211,0.420631614053948,Sheep/beef,Dairy,Orange (Navel),Squash
00212,0.22903774941257707,Sheep/beef,Dairy,Orange (Navel),Wheat
00213,0.4828315984661674,Sheep/beef,Dairy,Orange (Navel),Vining Pea
00214,0.43620316578903523,Sheep/beef,Dairy,Orange (Navel),Field Pea
00215,0.24009761636111385,Sheep/beef,Dairy,Orange (Navel),Maize
00216,0.36462798846642824,Sheep/beef,Dairy,Orange (Navel),Ryegrass Seed
00217,0.3070774811034304,Sheep/beef,Dairy,Orange (Navel),Kale
00218,0.33019987897261804,Sheep/beef,Dairy,Orange (Navel),Barley
00219,0.28924788652788375,Sheep/beef,Dairy,Orange (Navel),South Island arable rotation
00220,0.36454050285715567,Sheep/beef,Dairy,Orange (Navel),Broad acre vegetable rotation
00221,0.46396126847473934,Sheep/beef,Dairy,Orange (Valencia),Mandarin (Encore)
00222,0.20932669523724387,Sheep/beef,Dairy,Orange (Valencia),Mandarin (Satsuma)
00223,0.3623726563731955,Sheep/beef,Dairy,Orange (Valencia),Lemon (Meyer)
00224,0.2581038166043765,Sheep/beef,Dairy,Orange (Valencia),Grape
00225,0.24322186568028226,Sheep/beef,Dairy,Orange (Valencia),Apple
00226,0.3060571052220939,Sheep/beef,Dairy,Orange (Valencia),Avocado
00227,0.24359583400270873,Sheep/beef,Dairy,Orange (Valencia),Lemon (Yen Ben)
00228,0.5368040675823916,Sheep/beef,Dairy,Orange (Valencia),Blueberry
00229,0.6825517015352767,Sheep/beef,Dairy,Orange (Valencia),Cherry (UFO)
00230,0.7101489790395632,Sheep/beef,Dairy,Orange (Valencia),Cherry (CL)
00231,0.2575537842495692,Sheep/beef,Dairy,Orange (Valencia),Kiwifruit (Gold)
00232,0.27057510983442346,Sheep/beef,Dairy,Orange (Valencia),Kiwifruit (Green)
00233,0.3021464222162465,Sheep/beef,Dairy,Orange (Valencia),Onion
00234,0.6055041612015999,Sheep/beef,Dairy,Orange (Valencia),Squash
00235,0.2323166427076392,Sheep/beef,Dairy,Orange (Valencia),Wheat
00236,0.33933095569547594,Sheep/beef,Dairy,Orange (Valencia),Vining Pea
00237,0.3231538287236806,Sheep/beef,Dairy,Orange (Valencia),Field Pea
00238,0.32117275524374184,Sheep/beef,Dairy,Orange (Valencia),Maize
00239,0.317291262085994,Sheep/beef,Dairy,Orange (Valencia),Ryegrass Seed
00240,0.32566155020546117,Sheep/beef,Dairy,Orange (Valencia),Kale
00241,0.3621400702532294,Sheep/beef,Dairy,Orange (Valencia),Barley
00242,0.3594161122236848,Sheep/beef,Dairy,Orange (Valencia),South Island arable rotation
00243,0.47427970632477406,Sheep/beef,Dairy,Orange (Valencia),Broad acre vegetable rotation
00244,0.1660936380735275,Sheep/beef,Dairy,Mandarin (Encore),Mandarin (Satsuma)
00245,0.32763356592608844,Sheep/beef,Dairy,Mandarin (Encore),Lemon (Meyer)
00246,0.22375019112787897,Sheep/beef,Dairy,Mandarin (Encore),Grape
00247,0.1972630946685062,Sheep/beef,Dairy,Mandarin (Encore),Apple
00248,0.2606960434535913,Sheep/beef,Dairy,Mandarin (Encore),Avocado
00249,0.19772917636670503,Sheep/beef,Dairy,Mandarin (Encore),Lemon (Yen Ben)
00250,0.49458071671881765,Sheep/beef,Dairy,Mandarin (Encore),Blueberry
00251,0.6430353243558825,Sheep/beef,Dairy,Mandarin (Encore),Cherry (UFO)
00252,0.6709922391300487,Sheep/beef,Dairy,Mandarin (Encore),Cherry (CL)
00253,0.21235309659336224,Sheep/beef,Dairy,Mandarin (Encore),Kiwifruit (Gold)
00254,0.22446700668165476,Sheep/beef,Dairy,Mandarin (Encore),Kiwifruit (Green)
00255,0.2815762411204528,Sheep/beef,Dairy,Mandarin (Encore),Onion
00256,0.5607292071465856,Sheep/beef,Dairy,Mandarin (Encore),Squash
00257,0.20873224007235042,Sheep/beef,Dairy,Mandarin (Encore),Wheat
00258,0.32963441052752207,Sheep/beef,Dairy,Mandarin (Encore),Vining Pea
00259,0.3021051285731051,Sheep/beef,Dairy,Mandarin (Encore),Field Pea
00260,0.2929877036020005,Sheep/beef,Dairy,Mandarin (Encore),Maize
00261,0.2852642702396283,Sheep/beef,Dairy,Mandarin (Encore),Ryegrass Seed
00262,0.2999038576631194,Sheep/beef,Dairy,Mandarin (Encore),Kale
00263,0.3338588228443226,Sheep/beef,Dairy,Mandarin (Encore),Barley
00264,0.32131911024746035,Sheep/beef,Dairy,Mandarin (Encore),South Island arable rotation
00265,0.43667122902790445,Sheep/beef,Dairy,Mandarin (Encore),Broad acre vegetable rotation
00266,0.21850504739553064,Sheep/beef,Dairy,Mandarin (Satsuma),Lemon (Meyer)
00267,0.21909458212175037,Sheep/beef,Dairy,Mandarin (Satsuma),Grape
00268,0.13461310474102878,Sheep/beef,Dairy,Mandarin (Satsuma),Apple
00269,0.0930365861653121,Sheep/beef,Dairy,Mandarin (Satsuma),Avocado
00270,0.13532514579677005,Sheep/beef,Dairy,Mandarin (Satsuma),Lemon (Yen Ben)
00271,0.2597225750074472,Sheep/beef,Dairy,Mandarin (Satsuma),Blueberry
00272,0.4524584312526615,Sheep/beef,Dairy,Mandarin (Satsuma),Cherry (UFO)
00273,0.48174074810436573,Sheep/beef,Dairy,Mandarin (Satsuma),Cherry (CL)
00274,0.1074528190605974,Sheep/beef,Dairy,Mandarin (Satsuma),Kiwifruit (Gold)
00275,0.08812610708540482,Sheep/beef,Dairy,Mandarin (Satsuma),Kiwifruit (Green)
00276,0.36033888971890654,Sheep/beef,Dairy,Mandarin (Satsuma),Onion
00277,0.30794741737399317,Sheep/beef,Dairy,Mandarin (Satsuma),Squash
00278,0.24952420721968638,Sheep/beef,Dairy,Mandarin (Satsuma),Wheat
00279,0.4305974615276162,Sheep/beef,Dairy,Mandarin (Satsuma),Vining Pea
00280,0.3281424369578824,Sheep/beef,Dairy,Mandarin (Satsuma),Field Pea
00281,0.2346564964162109,Sheep/beef,Dairy,Mandarin (Satsuma),Maize
00282,0.22493764964560253,Sheep/beef,Dairy,Mandarin (Satsuma),Ryegrass Seed
00283,0.23942073242608497,Sheep/beef,Dairy,Mandarin (Satsuma),Kale
00284,0.23196037729958227,Sheep/beef,Dairy,Mandarin (Satsuma),Barley
00285,0.1885949655156449,Sheep/beef,Dairy,Mandarin (Satsuma),South Island arable rotation
00286,0.30886385081520407,Sheep/beef,Dairy,Mandarin (Satsuma),Broad acre vegetable rotation
00287,0.32996490144868124,Sheep/beef,Dairy,Lemon (Meyer),Grape
00288,0.14855395481554515,Sheep/beef,Dairy,Lemon (Meyer),Apple
00289,0.2534476572850066,Sheep/beef,Dairy,Lemon (Meyer),Avocado
00290,0.14811466480348062,Sheep/beef,Dairy,Lemon (Meyer),Lemon (Yen Ben)
00291,0.3615635383698876,Sheep/beef,Dairy,Lemon (Meyer),Blueberry
00292,0.549803792502397,Sheep/beef,Dairy,Lemon (Meyer),Cherry (UFO)
00293,0.5768871087044475,Sheep/beef,Dairy,Lemon (Meyer),Cherry (CL)
00294,0.1918459461903428,Sheep/beef,Dairy,Lemon (Meyer),Kiwifruit (Gold)
00295,0.2095028466101333,Sheep/beef,Dairy,Lemon (Meyer),Kiwifruit (Green)
00296,0.3691169830283739,Sheep/beef,Dairy,Lemon (Meyer),Onion
00297,0.45008139281400905,Sheep/beef,Dairy,Lemon (Meyer),Squash
00298,0.2624658677865044,Sheep/beef,Dairy,Lemon (Meyer),Wheat
00299,0.4697592832030159,Sheep/beef,Dairy,Lemon (Meyer),Vining Pea
00300,0.4321078132646237,Sheep/beef,Dairy,Lemon (Meyer),Field Pea
00301,0.28556143657716765,Sheep/beef,Dairy,Lemon (Meyer),Maize
00302,0.3719731186545568,Sheep/beef,Dairy,Lemon (Meyer),Ryegrass Seed
00303,0.3445003061923073,Sheep/beef,Dairy,Lemon (Meyer),Kale
00304,0.36805382834071504,Sheep/beef,Dairy,Lemon (Meyer),Barley
00305,0.3152488429910133,Sheep/beef,Dairy,Lemon (Meyer),South Island arable rotation
00306,0.3943716498985955,Sheep/beef,Dairy,Lemon (Meyer),Broad acre vegetable rotation
00307,0.11045710376683181,Sheep/beef,Dairy,Grape,Apple
00308,0.19084964710674968,Sheep/beef,Dairy,Grape,Avocado
00309,0.10932805030357222,Sheep/beef,Dairy,Grape,Lemon (Yen Ben)
00310,0.27713024720383433,Sheep/beef,Dairy,Grape,Blueberry
00311,0.4710239027272778,Sheep/beef,Dairy,Grape,Cherry (UFO)
00312,0.49909310386591693,Sheep/beef,Dairy,Grape,Cherry (CL)
00313,0.1222690700050327,Sheep/beef,Dairy,Grape,Kiwifruit (Gold)
00314,0.14124986486864988,Sheep/beef,Dairy,Grape,Kiwifruit (Green)
00315,0.407392143510842,Sheep/beef,Dairy,Grape,Onion
00316,0.3519982179106381,Sheep/beef,Dairy,Grape,Squash
00317,0.22505428513713646,Sheep/beef,Dairy,Grape,Wheat
00318,0.4996188939605547,Sheep/beef,Dairy,Grape,Vining Pea
00319,0.4250951727524243,Sheep/beef,Dairy,Grape,Field Pea
00320,0.20262872776605959,Sheep/beef,Dairy,Grape,Maize
00321,0.33129945590952614,Sheep/beef,Dairy,Grape,Ryegrass Seed
00322,0.26518513073500005,Sheep/beef,Dairy,Grape,Kale
00323,0.27655016800353704,Sheep/beef,Dairy,Grape,Barley
00324,0.2647847595119688,Sheep/beef,Dairy,Grape,South Island arable rotation
00325,0.36192176369195,Sheep/beef,Dairy,Grape,Broad acre vegetable rotation
00326,0.03766188956488463,Sheep/beef,Dairy,Apple,Avocado
00327,0.14719057270483193,Sheep/beef,Dairy,Apple,Lemon (Yen Ben)
00328,0.3394569611675208,Sheep/beef,Dairy,Apple,Blueberry
00329,0.47098948626601267,Sheep/beef,Dairy,Apple,Cherry (UFO)
00330,0.5002200060636528,Sheep/beef,Dairy,Apple,Cherry (CL)
00331,0.12185012126391917,Sheep/beef,Dairy,Apple,Kiwifruit (Gold)
00332,0.08445198205056363,Sheep/beef,Dairy,Apple,Kiwifruit (Green)
00333,0.27879648790969586,Sheep/beef,Dairy,Apple,Onion
00334,0.3497621095974268,Sheep/beef,Dairy,Apple,Squash
00335,0.2644740608019156,Sheep/beef,Dairy,Apple,Wheat
00336,0.3310415512938251,Sheep/beef,Dairy,Apple,Vining Pea
00337,0.2287226500722341,Sheep/beef,Dairy,Apple,Field Pea
00338,0.28403841106146055,Sheep/beef,Dairy,Apple,Maize
00339,0.14469985971408017,Sheep/beef,Dairy,Apple,Ryegrass Seed
00340,0.26529060121458825,Sheep/beef,Dairy,Apple,Kale
00341,0.261469682418168,Sheep/beef,Dairy,Apple,Barley
00342,0.16569383713942376,Sheep/beef,Dairy,Apple,South Island arable rotation
00343,0.281419732257933,Sheep/beef,Dairy,Apple,Broad acre vegetable rotation
00344,0.03839225083668261,Sheep/beef,Dairy,Avocado,Lemon (Yen Ben)
00345,0.36353683051964647,Sheep/beef,Dairy,Avocado,Blueberry
00346,0.5270785305935275,Sheep/beef,Dairy,Avocado,Cherry (UFO)
00347,0.5561641429075107,Sheep/beef,Dairy,Avocado,Cherry (CL)
00348,0.06681707173702967,Sheep/beef,Dairy,Avocado,Kiwifruit (Gold)
00349,0.07929784199078278,Sheep/beef,Dairy,Avocado,Kiwifruit (Green)
00350,0.2972226142668708,Sheep/beef,Dairy,Avocado,Onion
00351,0.4154693350540926,Sheep/beef,Dairy,Avocado,Squash
00352,0.17750305869568173,Sheep/beef,Dairy,Avocado,Wheat
00353,0.37589522094810573,Sheep/beef,Dairy,Avocado,Vining Pea
00354,0.30409610772121376,Sheep/beef,Dairy,Avocado,Field Pea
00355,0.2154112965736321,Sheep/beef,Dairy,Avocado,Maize
