"","region","land_use","total_suitability"
"102","Canterbury","Orange (Valencia)","Suitable - already grown"
"103","Canterbury","Peach","Suitable - already grown"
"104","Canterbury","Potato (Fresh Potato)","Suitable - already grown"
"105","Canterbury","Potato (Process Potato)","Suitable - already grown"
"106","Canterbury","Ryegrass Seed","Not enough information to exclude"
"107","Canterbury","Sheep/beef","Suitable - already grown"
"108","Canterbury","South Island arable rotation","Not enough information to exclude"
"109","Canterbury","Squash","Suitable - already grown"
"110","Canterbury","Vining Pea","Suitable - already grown"
"111","Canterbury","Wheat","Suitable - WWO"
"112","Gisborne","Apple","Suitable - already grown"
"113","Gisborne","Apricot","Suitable - already grown"
"114","Gisborne","Avocado","Suitable - already grown"
"115","Gisborne","Barley","Not enough information to exclude"
"116","Gisborne","Beetroot","Not enough information to exclude"
"117","Gisborne","Blueberry","Suitable - already grown"
"118","Gisborne","Broad acre vegetable rotation","Not enough information to exclude"
"119","Gisborne","Cherry (CL)","Suitable - already grown"
"120","Gisborne","Cherry (UFO)","Suitable - already grown"
"121","Gisborne","Commercial Forest","Suitable - already grown"
"122","Gisborne","Dairy","Suitable - already grown"
"123","Gisborne","Field Pea","Not enough information to exclude"
"124","Gisborne","Grape","Suitable - already grown"
"125","Gisborne","Hops","Suitable - already grown"
"126","Gisborne","Kale","Not enough information to exclude"
"127","Gisborne","Kiwifruit (Gold)","Suitable - already grown"
"128","Gisborne","Kiwifruit (Green)","Suitable - already grown"
"129","Gisborne","Lemon (Meyer)","Suitable - already grown"
"130","Gisborne","Lemon (Yen Ben)","Suitable - already grown"
"131","Gisborne","Macadamia","Suitable - already grown"
"132","Gisborne","Maize","Suitable - WWO"
"133","Gisborne","Mandarin (Encore)","Suitable - already grown"
"134","Gisborne","Mandarin (Satsuma)","Suitable - already grown"
"135","Gisborne","Native Bush","Suitable - already grown"
"136","Gisborne","Nectarine","Suitable - already grown"
"137","Gisborne","Onion","Suitable - already grown"
"138","Gisborne","Orange (Navel)","Suitable - already grown"
"139","Gisborne","Orange (Valencia)","Suitable - already grown"
"140","Gisborne","Peach","Suitable - already grown"
"141","Gisborne","Potato (Fresh Potato)","Unsuitable"
"142","Gisborne","Potato (Process Potato)","Unsuitable"
"143","Gisborne","Ryegrass Seed","Not enough information to exclude"
"144","Gisborne","Sheep/beef","Suitable - already grown"
"145","Gisborne","South Island arable rotation","Unsuitable"
"146","Gisborne","Squash","Suitable - already grown"
"147","Gisborne","Vining Pea","Suitable - WWO"
"148","Gisborne","Wheat","Suitable - WWO"
"149","Hawke's Bay","Apple","Suitable - already grown"
"150","Hawke's Bay","Apricot","Suitable - already grown"
"151","Hawke's Bay","Avocado","Suitable - already grown"
"152","Hawke's Bay","Barley","Not enough information to exclude"
"153","Hawke's Bay","Beetroot","Not enough information to exclude"
"154","Hawke's Bay","Blueberry","Suitable - already grown"
"155","Hawke's Bay","Broad acre vegetable rotation","Not enough information to exclude"
"156","Hawke's Bay","Cherry (CL)","Suitable - already grown"
"157","Hawke's Bay","Cherry (UFO)","Suitable - already grown"
"158","Hawke's Bay","Commercial Forest","Suitable - already grown"
"159","Hawke's Bay","Dairy","Suitable - already grown"
"160","Hawke's Bay","Field Pea","Suitable - already grown"
"161","Hawke's Bay","Grape","Suitable - already grown"
"162","Hawke's Bay","Hops","Suitable - already grown"
"163","Hawke's Bay","Kale","Not enough information to exclude"
"164","Hawke's Bay","Kiwifruit (Gold)","Suitable - already grown"
"165","Hawke's Bay","Kiwifruit (Green)","Suitable - already grown"
"166","Hawke's Bay","Lemon (Meyer)","Suitable - already grown"
"167","Hawke's Bay","Lemon (Yen Ben)","Suitable - already grown"
"168","Hawke's Bay","Macadamia","Suitable - already grown"
"169","Hawke's Bay","Maize","Suitable - WWO"
"170","Hawke's Bay","Mandarin (Encore)","Suitable - already grown"
"171","Hawke's Bay","Mandarin (Satsuma)","Suitable - already grown"
"172","Hawke's Bay","Native Bush","Suitable - already grown"
"173","Hawke's Bay","Nectarine","Suitable - already grown"
"174","Hawke's Bay","Onion","Suitable - already grown"
"175","Hawke's Bay","Orange (Navel)","Suitable - already grown"
"176","Hawke's Bay","Orange (Valencia)","Suitable - already grown"
"177","Hawke's Bay","Peach","Suitable - already grown"
"178","Hawke's Bay","Potato (Fresh Potato)","Suitable - already grown"
"179","Hawke's Bay","Potato (Process Potato)","Suitable - already grown"
"180","Hawke's Bay","Ryegrass Seed","Not enough information to exclude"
"181","Hawke's Bay","Sheep/beef","Suitable - already grown"
"182","Hawke's Bay","South Island arable rotation","Not enough information to exclude"
"183","Hawke's Bay","Squash","Suitable - already grown"
"184","Hawke's Bay","Vining Pea","Suitable - already grown"
"185","Hawke's Bay","Wheat","Suitable - WWO"
"186","Manawatu-Whanganui","Apple","Not enough information to exclude"
"187","Manawatu-Whanganui","Apricot","Not enough information to exclude"
"188","Manawatu-Whanganui","Avocado","Unsuitable"
"189","Manawatu-Whanganui","Barley","Not enough information to exclude"
"190","Manawatu-Whanganui","Beetroot","Suitable - already grown"
"191","Manawatu-Whanganui","Blueberry","Suitable - already grown"
"192","Manawatu-Whanganui","Broad acre vegetable rotation","Not enough information to exclude"
"193","Manawatu-Whanganui","Cherry (CL)","Suitable - WWO"
"194","Manawatu-Whanganui","Cherry (UFO)","Suitable - WWO"
"195","Manawatu-Whanganui","Commercial Forest","Suitable - already grown"
"196","Manawatu-Whanganui","Dairy","Suitable - already grown"
"197","Manawatu-Whanganui","Field Pea","Not enough information to exclude"
"198","Manawatu-Whanganui","Grape","Suitable - already grown"
"199","Manawatu-Whanganui","Hops","Not enough information to exclude"
"200","Manawatu-Whanganui","Kale","Not enough information to exclude"
"201","Manawatu-Whanganui","Kiwifruit (Gold)","Suitable - WWO"
"202","Manawatu-Whanganui","Kiwifruit (Green)","Suitable - WWO"
"203","Manawatu-Whanganui","Lemon (Meyer)","Not enough information to exclude"
"204","Manawatu-Whanganui","Lemon (Yen Ben)","Not enough information to exclude"
"205","Manawatu-Whanganui","Macadamia","Not enough information to exclude"
"206","Manawatu-Whanganui","Maize","Suitable - WWO"
"207","Manawatu-Whanganui","Mandarin (Encore)","Not enough information to exclude"
"208","Manawatu-Whanganui","Mandarin (Satsuma)","Not enough information to exclude"
"209","Manawatu-Whanganui","Native Bush","Suitable - already grown"
"210","Manawatu-Whanganui","Nectarine","Not enough information to exclude"
"211","Manawatu-Whanganui","Onion","Suitable - already grown"
"212","Manawatu-Whanganui","Orange (Navel)","Not enough information to exclude"
"213","Manawatu-Whanganui","Orange (Valencia)","Not enough information to exclude"
"214","Manawatu-Whanganui","Peach","Not enough information to exclude"
"215","Manawatu-Whanganui","Potato (Fresh Potato)","Suitable - already grown"
"216","Manawatu-Whanganui","Potato (Process Potato)","Suitable - already grown"
"217","Manawatu-Whanganui","Ryegrass Seed","Not enough information to exclude"
"218","Manawatu-Whanganui","Sheep/beef","Suitable - already grown"
"219","Manawatu-Whanganui","South Island arable rotation","Not enough information to exclude"
"220","Manawatu-Whanganui","Squash","Suitable - already grown"
"221","Manawatu-Whanganui","Vining Pea","Suitable - already grown"
"222","Manawatu-Whanganui","Wheat","Suitable - WWO"
"223","Marlborough","Apple","Suitable - already grown"
"224","Marlborough","Apricot","Suitable - already grown"
"225","Marlborough","Avocado","Unsuitable"
"226","Marlborough","Barley","Not enough information to exclude"
"227","Marlborough","Beetroot","Not enough information to exclude"
"228","Marlborough","Blueberry","Suitable - already grown"
"229","Marlborough","Broad acre vegetable rotation","Unsuitable"
"230","Marlborough","Cherry (CL)","Suitable - already grown"
"231","Marlborough","Cherry (UFO)","Suitable - already grown"
"232","Marlborough","Commercial Forest","Suitable - already grown"
"233","Marlborough","Dairy","Suitable - already grown"
"234","Marlborough","Field Pea","Suitable - already grown"
"235","Marlborough","Grape","Suitable - already grown"
"236","Marlborough","Hops","Suitable - already grown"
"237","Marlborough","Kale","Not enough information to exclude"
"238","Marlborough","Kiwifruit (Gold)","Suitable - already grown"
"239","Marlborough","Kiwifruit (Green)","Suitable - already grown"
"240","Marlborough","Lemon (Meyer)","Suitable - already grown"
"241","Marlborough","Lemon (Yen Ben)","Suitable - already grown"
"242","Marlborough","Macadamia","Suitable - already grown"
"243","Marlborough","Maize","Unsuitable"
"244","Marlborough","Mandarin (Encore)","Suitable - already grown"
"245","Marlborough","Mandarin (Satsuma)","Suitable - already grown"
