"","region","land_use","total_suitability"
"519","Wellington","Apple","Suitable - already grown"
"520","Wellington","Apricot","Suitable - already grown"
"521","Wellington","Avocado","Suitable - already grown"
"522","Wellington","Barley","Not enough information to exclude"
"523","Wellington","Beetroot","Not enough information to exclude"
"524","Wellington","Blueberry","Suitable - already grown"
"525","Wellington","Broad acre vegetable rotation","Not enough information to exclude"
"526","Wellington","Cherry (CL)","Suitable - already grown"
"527","Wellington","Cherry (UFO)","Suitable - already grown"
"528","Wellington","Commercial Forest","Suitable - already grown"
"529","Wellington","Dairy","Suitable - already grown"
"530","Wellington","Field Pea","Not enough information to exclude"
"531","Wellington","Grape","Suitable - already grown"
"532","Wellington","Hops","Suitable - already grown"
"533","Wellington","Kale","Not enough information to exclude"
"534","Wellington","Kiwifruit (Gold)","Suitable - already grown"
"535","Wellington","Kiwifruit (Green)","Suitable - already grown"
"536","Wellington","Lemon (Meyer)","Suitable - already grown"
"537","Wellington","Lemon (Yen Ben)","Suitable - already grown"
"538","Wellington","Macadamia","Suitable - already grown"
"539","Wellington","Maize","Suitable - WWO"
"540","Wellington","Mandarin (Encore)","Suitable - already grown"
"541","Wellington","Mandarin (Satsuma)","Suitable - already grown"
"542","Wellington","Native Bush","Suitable - already grown"
"543","Wellington","Nectarine","Suitable - already grown"
"544","Wellington","Onion","Suitable - already grown"
"545","Wellington","Orange (Navel)","Suitable - already grown"
"546","Wellington","Orange (Valencia)","Suitable - already grown"
"547","Wellington","Peach","Suitable - already grown"
"548","Wellington","Potato (Fresh Potato)","Suitable - already grown"
"549","Wellington","Potato (Process Potato)","Suitable - already grown"
"550","Wellington","Ryegrass Seed","Not enough information to exclude"
"551","Wellington","Sheep/beef","Suitable - already grown"
"552","Wellington","South Island arable rotation","Not enough information to exclude"
"553","Wellington","Squash","Suitable - already grown"
"554","Wellington","Vining Pea","Suitable - WWO"
"555","Wellington","Wheat","Suitable - WWO"
"556","West Coast","Apple","Not enough information to exclude"
"557","West Coast","Apricot","Suitable - already grown"
"558","West Coast","Avocado","Unsuitable"
"559","West Coast","Barley","Not enough information to exclude"
"560","West Coast","Beetroot","Not enough information to exclude"
"561","West Coast","Blueberry","Suitable - already grown"
"562","West Coast","Broad acre vegetable rotation","Unsuitable"
"563","West Coast","Cherry (CL)","Suitable - already grown"
"564","West Coast","Cherry (UFO)","Suitable - already grown"
"565","West Coast","Commercial Forest","Suitable - already grown"
"566","West Coast","Dairy","Suitable - already grown"
"567","West Coast","Field Pea","Not enough information to exclude"
"568","West Coast","Grape","Unsuitable"
"569","West Coast","Hops","Not enough information to exclude"
"570","West Coast","Kale","Not enough information to exclude"
"571","West Coast","Kiwifruit (Gold)","Suitable - WWO"
"572","West Coast","Kiwifruit (Green)","Unsuitable"
"573","West Coast","Lemon (Meyer)","Not enough information to exclude"
"574","West Coast","Lemon (Yen Ben)","Not enough information to exclude"
"575","West Coast","Macadamia","Suitable - already grown"
"576","West Coast","Maize","Unsuitable"
"577","West Coast","Mandarin (Encore)","Not enough information to exclude"
"578","West Coast","Mandarin (Satsuma)","Not enough information to exclude"
"579","West Coast","Native Bush","Suitable - already grown"
"580","West Coast","Nectarine","Suitable - already grown"
"581","West Coast","Onion","Unsuitable"
"582","West Coast","Orange (Navel)","Not enough information to exclude"
"583","West Coast","Orange (Valencia)","Not enough information to exclude"
"584","West Coast","Peach","Suitable - already grown"
"585","West Coast","Potato (Fresh Potato)","Unsuitable"
"586","West Coast","Potato (Process Potato)","Unsuitable"
"587","West Coast","Ryegrass Seed","Not enough information to exclude"
"588","West Coast","Sheep/beef","Suitable - already grown"
"589","West Coast","South Island arable rotation","Unsuitable"
"590","West Coast","Squash","Not enough information to exclude"
"591","West Coast","Vining Pea","Unsuitable"
"592","West Coast","Wheat","Suitable - WWO"
